"*Channel Name","Product Name on Channel","Selling Price","*Channel Product id","*Channel SKU Code","Master SKU Code"
"CUSTOM","gsdgw","22.00","","123","123"
"CUSTOM","Black tshirt XL","1000.00","","BlackTshirt","BlackTshirt"
"CUSTOM","hgt","44.00","","1919","1919"
"CUSTOM","dfghj","500.00","","12556","12556"
"CUSTOM","9876","9876.00","","987","987"
"KARTROCKET","Single Product","0.00","","1030325","1030325"
"KARTROCKET","kurti 1","0.00","48","test 1","test 1"
"KARTROCKET","Orange Cotton Solid Shorts for Men","0.00","","Wallet","Wallet"
"KARTROCKET","Product with One Option","0.00","","asskmk","asskmk"
"CUSTOM","Black tshirt XL","1000.00","","Black-tshirt","Black-tshirt"
"CUSTOM","Red tshirt XL","2500.00","","RedTshirt","RedTshirt"
"CUSTOM","Table lamp XL","100.00","","TableLampRed","TableLampRed"
"CUSTOM","Nike shoes","4000.00","","NikeShoes9","NikeShoes9"
"CUSTOM","Test Product 1","200.00","","abc123","abc123"
"AMAZON_IN","Nillkin Tempered Glass for OnePlus 6 One Plus 6 3D CP+ Max Glass 0.1mm Thin Edge Shaterproof Full Screen Coverage Explosion Proof Screen Protect Black Color","0.00","","OP6-58696-9","OP6-58696-9"
"AMAZON_IN","Nillkin Tempered Glass for Huawei Honor 8 Amazing H+ Pro Explosion Proof Screen Protect","0.00","","Honor8-24974D","Honor8-24974D"
"AMAZON_IN","Nillkin Case for Xiaomi Mi A2 A 2 / 6X 6 X Sparkle Leather Flip Folio Book Type PC with Window Operation + Smart Sleep Function Gold Color","0.00","","MiA2-57514D","MiA2-57514D"
"AMAZON_IN","Nillkin Screen Guard for Motorola Moto Z2 Play Super Clear Scratch Proof Protect Simple Set Version","0.00","","MZ2P-46371-9","MZ2P-46371-9"
"AMAZON_IN","Philips DLC2518N Fast Charging and Data Transfer USB Cable 1.2 Mtr (Grey)","0.00","","DLC2518N","DLC2518N"
"AMAZON_IN","Philips DLC2518G Fast Charging and Data Transfer USB Cable 1.2 Mtr (Gold)","0.00","","DLC2518G","DLC2518G"
